ts=68239683; t=2025-05-13T18:59:15; ll=0; started=/usr/local/bin/pagekite.py; version=1.5.2.240101; platform=darwin; python=3.9.6 (default, Mar 12 2025, 20:22:46)  [Clang 17.0.0 (clang-1700.0.13.3)]; argv=4000 atsscribe.pagekite.me; ca_certs=/etc/ssl/cert.pem; send_always_buffers=False; tunnel_socket_blocks=False; optfile_.SELF/defaults.cfg=ok; optfile_/Users/raja/.pagekite.rc=ok
ts=68239684; t=2025-05-13T18:59:16; ll=1; FE=45.33.98.215:443; http_ping_ms=161; win=2; uuid=20b95faa01ec0beac766b8d87b1837161b23552c; wanted_by=DNS
ts=6823968b; t=2025-05-13T18:59:23; ll=10; FE=109.237.26.34:443; http_ping_ms=384; win=2; uuid=cba9d700f18947bdd582be4023eecd21ec9996b9; unbiased_ms=334
ts=6823968b; t=2025-05-13T18:59:23; ll=11; FE=95.216.167.199:443; http_ping_ms=422; win=2; uuid=cd771f4b78e9fdd301e02f9e3251ace9461966d7; unbiased_ms=372
ts=6823968b; t=2025-05-13T18:59:23; ll=12; FE=139.162.73.59:443; http_ping_ms=300; win=2; uuid=e2edeb72e6fabd0d0eb3f0f5c376c8e3bcc5fc31; unbiased_ms=250
ts=6823968b; t=2025-05-13T18:59:23; ll=13; FE=172.104.8.71:443; http_ping_ms=213; win=2; uuid=09c857ce500b4ec0cada12d79abdcefc49647447; unbiased_ms=163
ts=6823968b; t=2025-05-13T18:59:23; ll=14; FE=172.105.59.232:443; http_ping_ms=537; win=2; uuid=525540452ef50a3ae98c934130332d903c7e9f5e; unbiased_ms=487
ts=6823968b; t=2025-05-13T18:59:23; ll=15; FE=172.105.176.167:443; http_ping_ms=372; win=2; uuid=13004119e05cff9a228194b7393af9341b586873; unbiased_ms=322
ts=6823968b; t=2025-05-13T18:59:23; ll=16; FE=185.112.146.199:443; http_ping_ms=442; win=2; uuid=3a750bbc070c616098874ac714cc0dc2440a2caa; unbiased_ms=392
ts=6823968b; t=2025-05-13T18:59:23; ll=17; FE=139.162.16.102:443; http_ping_ms=416; win=2; uuid=00ad3ea65dac882f93147161d4fe4803d04b1ac4; unbiased_ms=366
ts=6823968b; t=2025-05-13T18:59:23; ll=18; FE=139.162.152.224:443; http_ping_ms=374; win=2; uuid=9511c13edf1e59825adda2fcd385a3616fa8ebfa; unbiased_ms=324
ts=68239695; t=2025-05-13T18:59:33; ll=19; FE=45.33.98.215:443; http_ping_ms=161; win=2; uuid=20b95faa01ec0beac766b8d87b1837161b23552c; wanted_by=DNS
ts=68239695; t=2025-05-13T18:59:33; ll=1a; FE=109.237.26.34:443; http_ping_ms=384; win=2; uuid=cba9d700f18947bdd582be4023eecd21ec9996b9; unbiased_ms=334
ts=68239695; t=2025-05-13T18:59:33; ll=1b; FE=95.216.167.199:443; http_ping_ms=422; win=2; uuid=cd771f4b78e9fdd301e02f9e3251ace9461966d7; unbiased_ms=372
ts=68239695; t=2025-05-13T18:59:33; ll=1c; FE=139.162.73.59:443; http_ping_ms=300; win=2; uuid=e2edeb72e6fabd0d0eb3f0f5c376c8e3bcc5fc31; unbiased_ms=250
ts=68239695; t=2025-05-13T18:59:33; ll=1d; FE=172.104.8.71:443; http_ping_ms=213; win=2; uuid=09c857ce500b4ec0cada12d79abdcefc49647447; unbiased_ms=163
ts=68239695; t=2025-05-13T18:59:33; ll=1e; FE=172.105.59.232:443; http_ping_ms=537; win=2; uuid=525540452ef50a3ae98c934130332d903c7e9f5e; unbiased_ms=487
ts=68239695; t=2025-05-13T18:59:33; ll=1f; FE=172.105.176.167:443; http_ping_ms=372; win=2; uuid=13004119e05cff9a228194b7393af9341b586873; unbiased_ms=322
ts=68239695; t=2025-05-13T18:59:33; ll=20; FE=185.112.146.199:443; http_ping_ms=442; win=2; uuid=3a750bbc070c616098874ac714cc0dc2440a2caa; unbiased_ms=392
ts=68239695; t=2025-05-13T18:59:33; ll=21; FE=139.162.16.102:443; http_ping_ms=416; win=2; uuid=00ad3ea65dac882f93147161d4fe4803d04b1ac4; unbiased_ms=366
ts=68239695; t=2025-05-13T18:59:33; ll=22; FE=139.162.152.224:443; http_ping_ms=374; win=2; uuid=9511c13edf1e59825adda2fcd385a3616fa8ebfa; unbiased_ms=324
ts=682396ab; t=2025-05-13T18:59:55; ll=23; FE=45.33.98.215:443; http_ping_ms=161; win=2; uuid=20b95faa01ec0beac766b8d87b1837161b23552c; wanted_by=DNS
ts=682396ab; t=2025-05-13T18:59:55; ll=24; FE=109.237.26.34:443; http_ping_ms=384; win=2; uuid=cba9d700f18947bdd582be4023eecd21ec9996b9; unbiased_ms=334
ts=682396ab; t=2025-05-13T18:59:55; ll=25; FE=95.216.167.199:443; http_ping_ms=422; win=2; uuid=cd771f4b78e9fdd301e02f9e3251ace9461966d7; unbiased_ms=372
ts=682396ab; t=2025-05-13T18:59:55; ll=26; FE=139.162.73.59:443; http_ping_ms=300; win=2; uuid=e2edeb72e6fabd0d0eb3f0f5c376c8e3bcc5fc31; unbiased_ms=250
ts=682396ab; t=2025-05-13T18:59:55; ll=27; FE=172.104.8.71:443; http_ping_ms=213; win=2; uuid=09c857ce500b4ec0cada12d79abdcefc49647447; unbiased_ms=163
ts=682396ab; t=2025-05-13T18:59:55; ll=28; FE=172.105.59.232:443; http_ping_ms=537; win=2; uuid=525540452ef50a3ae98c934130332d903c7e9f5e; unbiased_ms=487
ts=682396ab; t=2025-05-13T18:59:55; ll=29; FE=172.105.176.167:443; http_ping_ms=372; win=2; uuid=13004119e05cff9a228194b7393af9341b586873; unbiased_ms=322
ts=682396ab; t=2025-05-13T18:59:55; ll=2a; FE=185.112.146.199:443; http_ping_ms=442; win=2; uuid=3a750bbc070c616098874ac714cc0dc2440a2caa; unbiased_ms=392
ts=682396ab; t=2025-05-13T18:59:55; ll=2b; FE=139.162.16.102:443; http_ping_ms=416; win=2; uuid=00ad3ea65dac882f93147161d4fe4803d04b1ac4; unbiased_ms=366
ts=682396ab; t=2025-05-13T18:59:55; ll=2c; FE=139.162.152.224:443; http_ping_ms=374; win=2; uuid=9511c13edf1e59825adda2fcd385a3616fa8ebfa; unbiased_ms=324
ts=682396c1; t=2025-05-13T19:00:17; ll=2d; FE=45.33.98.215:443; http_ping_ms=157; win=3; uuid=20b95faa01ec0beac766b8d87b1837161b23552c; wanted_by=DNS
ts=682396c2; t=2025-05-13T19:00:18; ll=2e; FE=172.104.8.71:443; http_ping_ms=216; win=3; uuid=09c857ce500b4ec0cada12d79abdcefc49647447; unbiased_ms=166
ts=682396c2; t=2025-05-13T19:00:18; ll=2f; FE=139.162.73.59:443; http_ping_ms=302; win=3; uuid=e2edeb72e6fabd0d0eb3f0f5c376c8e3bcc5fc31; unbiased_ms=252
ts=682396c2; t=2025-05-13T19:00:18; ll=30; FE=109.237.26.34:443; http_ping_ms=378; win=3; uuid=cba9d700f18947bdd582be4023eecd21ec9996b9; unbiased_ms=328
ts=682396c2; t=2025-05-13T19:00:18; ll=31; FE=172.105.176.167:443; http_ping_ms=374; win=3; uuid=13004119e05cff9a228194b7393af9341b586873; unbiased_ms=324
ts=682396c2; t=2025-05-13T19:00:18; ll=32; FE=95.216.167.199:443; http_ping_ms=422; win=3; uuid=cd771f4b78e9fdd301e02f9e3251ace9461966d7; unbiased_ms=372
ts=682396c2; t=2025-05-13T19:00:18; ll=33; FE=139.162.16.102:443; http_ping_ms=418; win=3; uuid=00ad3ea65dac882f93147161d4fe4803d04b1ac4; unbiased_ms=368
ts=682396c2; t=2025-05-13T19:00:18; ll=34; FE=139.162.152.224:443; http_ping_ms=392; win=3; uuid=9511c13edf1e59825adda2fcd385a3616fa8ebfa; unbiased_ms=342
ts=682396c2; t=2025-05-13T19:00:18; ll=35; FE=185.112.146.199:443; http_ping_ms=445; win=3; uuid=3a750bbc070c616098874ac714cc0dc2440a2caa; unbiased_ms=395
ts=682396c2; t=2025-05-13T19:00:18; ll=36; FE=172.105.59.232:443; http_ping_ms=532; win=3; uuid=525540452ef50a3ae98c934130332d903c7e9f5e; unbiased_ms=482
ts=682396e1; t=2025-05-13T19:00:49; ll=37; FE=45.33.98.215:443; http_ping_ms=157; win=3; uuid=20b95faa01ec0beac766b8d87b1837161b23552c; wanted_by=DNS
ts=682396e1; t=2025-05-13T19:00:49; ll=38; FE=109.237.26.34:443; http_ping_ms=378; win=3; uuid=cba9d700f18947bdd582be4023eecd21ec9996b9; unbiased_ms=328
ts=682396e1; t=2025-05-13T19:00:49; ll=39; FE=95.216.167.199:443; http_ping_ms=422; win=3; uuid=cd771f4b78e9fdd301e02f9e3251ace9461966d7; unbiased_ms=372
ts=682396e1; t=2025-05-13T19:00:49; ll=3a; FE=139.162.73.59:443; http_ping_ms=302; win=3; uuid=e2edeb72e6fabd0d0eb3f0f5c376c8e3bcc5fc31; unbiased_ms=252
ts=682396e1; t=2025-05-13T19:00:49; ll=3b; FE=172.104.8.71:443; http_ping_ms=216; win=3; uuid=09c857ce500b4ec0cada12d79abdcefc49647447; unbiased_ms=166
ts=682396e1; t=2025-05-13T19:00:49; ll=3c; FE=172.105.59.232:443; http_ping_ms=532; win=3; uuid=525540452ef50a3ae98c934130332d903c7e9f5e; unbiased_ms=482
ts=682396e1; t=2025-05-13T19:00:49; ll=3d; FE=172.105.176.167:443; http_ping_ms=374; win=3; uuid=13004119e05cff9a228194b7393af9341b586873; unbiased_ms=324
ts=682396e1; t=2025-05-13T19:00:49; ll=3e; FE=185.112.146.199:443; http_ping_ms=445; win=3; uuid=3a750bbc070c616098874ac714cc0dc2440a2caa; unbiased_ms=395
ts=682396e1; t=2025-05-13T19:00:49; ll=3f; FE=139.162.16.102:443; http_ping_ms=418; win=3; uuid=00ad3ea65dac882f93147161d4fe4803d04b1ac4; unbiased_ms=368
ts=682396e1; t=2025-05-13T19:00:49; ll=40; FE=139.162.152.224:443; http_ping_ms=392; win=3; uuid=9511c13edf1e59825adda2fcd385a3616fa8ebfa; unbiased_ms=342
ts=682396e6; t=2025-05-13T19:00:54; ll=41; connect=45.33.98.215:443
ts=682396e6; t=2025-05-13T19:00:54; ll=42; FE=45.33.98.215:443; err=Duplicate; proto=http; domain=atsscribe.pagekite.me; id=s2
ts=682396e6; t=2025-05-13T19:00:54; ll=43; FE=45.33.98.215:443; ports=79,80,443,465,843,993,995,1965,2222,3000,4545,5222,5223,5269,5670,6667,8000,8080,8081,8082,8083,9292,25565; protocols=http,http2,http3,https,websocket,irc,finger,httpfinger,raw,minecraft; raw_ports=virtual
ts=682396e6; t=2025-05-13T19:00:54; ll=44; wrote=549; wbps=346; read=889; eof=1; id=s2
ts=68239700; t=2025-05-13T19:01:20; ll=45; FE=45.33.98.215:443; http_ping_ms=154; win=3; uuid=20b95faa01ec0beac766b8d87b1837161b23552c; wanted_by=DNS
ts=68239700; t=2025-05-13T19:01:20; ll=46; FE=172.104.8.71:443; http_ping_ms=215; win=3; uuid=09c857ce500b4ec0cada12d79abdcefc49647447; unbiased_ms=165
ts=68239701; t=2025-05-13T19:01:21; ll=47; FE=139.162.73.59:443; http_ping_ms=301; win=3; uuid=e2edeb72e6fabd0d0eb3f0f5c376c8e3bcc5fc31; unbiased_ms=251
ts=68239701; t=2025-05-13T19:01:21; ll=48; FE=109.237.26.34:443; http_ping_ms=376; win=3; uuid=cba9d700f18947bdd582be4023eecd21ec9996b9; unbiased_ms=326
ts=68239701; t=2025-05-13T19:01:21; ll=49; FE=172.105.176.167:443; http_ping_ms=374; win=3; uuid=13004119e05cff9a228194b7393af9341b586873; unbiased_ms=324
ts=68239701; t=2025-05-13T19:01:21; ll=4a; FE=139.162.152.224:443; http_ping_ms=395; win=3; uuid=9511c13edf1e59825adda2fcd385a3616fa8ebfa; unbiased_ms=345
ts=68239701; t=2025-05-13T19:01:21; ll=4b; FE=95.216.167.199:443; http_ping_ms=423; win=3; uuid=cd771f4b78e9fdd301e02f9e3251ace9461966d7; unbiased_ms=373
ts=68239701; t=2025-05-13T19:01:21; ll=4c; FE=139.162.16.102:443; http_ping_ms=423; win=3; uuid=00ad3ea65dac882f93147161d4fe4803d04b1ac4; unbiased_ms=373
ts=68239701; t=2025-05-13T19:01:21; ll=4d; FE=185.112.146.199:443; http_ping_ms=451; win=3; uuid=3a750bbc070c616098874ac714cc0dc2440a2caa; unbiased_ms=401
ts=68239701; t=2025-05-13T19:01:21; ll=4e; FE=172.105.59.232:443; http_ping_ms=538; win=3; uuid=525540452ef50a3ae98c934130332d903c7e9f5e; unbiased_ms=488
ts=6823976a; t=2025-05-13T19:03:06; ll=4f; FE=45.33.98.215:443; http_ping_ms=154; win=3; uuid=20b95faa01ec0beac766b8d87b1837161b23552c; wanted_by=DNS
ts=6823976b; t=2025-05-13T19:03:07; ll=50; FE=172.104.8.71:443; http_ping_ms=217; win=3; uuid=09c857ce500b4ec0cada12d79abdcefc49647447; unbiased_ms=167
ts=6823976b; t=2025-05-13T19:03:07; ll=51; FE=139.162.73.59:443; http_ping_ms=302; win=3; uuid=e2edeb72e6fabd0d0eb3f0f5c376c8e3bcc5fc31; unbiased_ms=252
ts=6823976b; t=2025-05-13T19:03:07; ll=52; FE=172.105.176.167:443; http_ping_ms=373; win=3; uuid=13004119e05cff9a228194b7393af9341b586873; unbiased_ms=323
ts=6823976b; t=2025-05-13T19:03:07; ll=53; FE=139.162.152.224:443; http_ping_ms=396; win=3; uuid=9511c13edf1e59825adda2fcd385a3616fa8ebfa; unbiased_ms=346
ts=6823976b; t=2025-05-13T19:03:07; ll=54; FE=109.237.26.34:443; http_ping_ms=378; win=3; uuid=cba9d700f18947bdd582be4023eecd21ec9996b9; unbiased_ms=328
ts=6823976b; t=2025-05-13T19:03:07; ll=55; FE=139.162.16.102:443; http_ping_ms=421; win=3; uuid=00ad3ea65dac882f93147161d4fe4803d04b1ac4; unbiased_ms=371
ts=6823976b; t=2025-05-13T19:03:07; ll=56; FE=95.216.167.199:443; http_ping_ms=421; win=3; uuid=cd771f4b78e9fdd301e02f9e3251ace9461966d7; unbiased_ms=371
ts=6823976b; t=2025-05-13T19:03:07; ll=57; FE=185.112.146.199:443; http_ping_ms=457; win=3; uuid=3a750bbc070c616098874ac714cc0dc2440a2caa; unbiased_ms=407
ts=6823976b; t=2025-05-13T19:03:07; ll=58; FE=172.105.59.232:443; http_ping_ms=532; win=3; uuid=525540452ef50a3ae98c934130332d903c7e9f5e; unbiased_ms=482
ts=68239770; t=2025-05-13T19:03:12; ll=59; connect=45.33.98.215:443
ts=68239770; t=2025-05-13T19:03:12; ll=5a; FE=45.33.98.215:443; err=Duplicate; proto=http; domain=atsscribe.pagekite.me; id=s3
ts=68239770; t=2025-05-13T19:03:12; ll=5b; FE=45.33.98.215:443; ports=79,80,443,465,843,993,995,1965,2222,3000,4545,5222,5223,5269,5670,6667,8000,8080,8081,8082,8083,9292,25565; protocols=http,http2,http3,https,websocket,irc,finger,httpfinger,raw,minecraft; raw_ports=virtual
ts=68239770; t=2025-05-13T19:03:12; ll=5c; wrote=549; wbps=346; read=889; eof=1; id=s3
ts=68239801; t=2025-05-13T19:05:37; ll=5d; FE=45.33.98.215:443; http_ping_ms=155; win=3; uuid=20b95faa01ec0beac766b8d87b1837161b23552c; wanted_by=DNS
ts=68239802; t=2025-05-13T19:05:38; ll=5e; FE=172.104.8.71:443; http_ping_ms=219; win=3; uuid=09c857ce500b4ec0cada12d79abdcefc49647447; unbiased_ms=169
ts=68239802; t=2025-05-13T19:05:38; ll=5f; FE=139.162.73.59:443; http_ping_ms=306; win=3; uuid=e2edeb72e6fabd0d0eb3f0f5c376c8e3bcc5fc31; unbiased_ms=256
ts=68239802; t=2025-05-13T19:05:38; ll=60; FE=109.237.26.34:443; http_ping_ms=380; win=3; uuid=cba9d700f18947bdd582be4023eecd21ec9996b9; unbiased_ms=330
ts=68239802; t=2025-05-13T19:05:38; ll=61; FE=172.105.176.167:443; http_ping_ms=371; win=3; uuid=13004119e05cff9a228194b7393af9341b586873; unbiased_ms=321
ts=68239802; t=2025-05-13T19:05:38; ll=62; FE=95.216.167.199:443; http_ping_ms=419; win=3; uuid=cd771f4b78e9fdd301e02f9e3251ace9461966d7; unbiased_ms=369
ts=68239802; t=2025-05-13T19:05:38; ll=63; FE=139.162.152.224:443; http_ping_ms=394; win=3; uuid=9511c13edf1e59825adda2fcd385a3616fa8ebfa; unbiased_ms=344
ts=68239802; t=2025-05-13T19:05:38; ll=64; FE=139.162.16.102:443; http_ping_ms=422; win=3; uuid=00ad3ea65dac882f93147161d4fe4803d04b1ac4; unbiased_ms=372
ts=68239802; t=2025-05-13T19:05:38; ll=65; FE=185.112.146.199:443; http_ping_ms=460; win=3; uuid=3a750bbc070c616098874ac714cc0dc2440a2caa; unbiased_ms=410
ts=68239802; t=2025-05-13T19:05:38; ll=66; FE=172.105.59.232:443; http_ping_ms=540; win=3; uuid=525540452ef50a3ae98c934130332d903c7e9f5e; unbiased_ms=490
ts=68239807; t=2025-05-13T19:05:43; ll=67; connect=45.33.98.215:443
ts=68239807; t=2025-05-13T19:05:43; ll=68; FE=45.33.98.215:443; err=Duplicate; proto=http; domain=atsscribe.pagekite.me; id=s4
ts=68239807; t=2025-05-13T19:05:43; ll=69; FE=45.33.98.215:443; ports=79,80,443,465,843,993,995,1965,2222,3000,4545,5222,5223,5269,5670,6667,8000,8080,8081,8082,8083,9292,25565; protocols=http,http2,http3,https,websocket,irc,finger,httpfinger,raw,minecraft; raw_ports=virtual
ts=68239807; t=2025-05-13T19:05:43; ll=6a; wrote=549; wbps=346; read=889; eof=1; id=s4
ts=68239898; t=2025-05-13T19:08:08; ll=6b; FE=45.33.98.215:443; http_ping_ms=153; win=3; uuid=20b95faa01ec0beac766b8d87b1837161b23552c; wanted_by=DNS
ts=68239898; t=2025-05-13T19:08:08; ll=6c; FE=172.104.8.71:443; http_ping_ms=222; win=3; uuid=09c857ce500b4ec0cada12d79abdcefc49647447; unbiased_ms=172
ts=68239898; t=2025-05-13T19:08:08; ll=6d; FE=139.162.73.59:443; http_ping_ms=308; win=3; uuid=e2edeb72e6fabd0d0eb3f0f5c376c8e3bcc5fc31; unbiased_ms=258
ts=68239898; t=2025-05-13T19:08:08; ll=6e; FE=172.105.176.167:443; http_ping_ms=374; win=3; uuid=13004119e05cff9a228194b7393af9341b586873; unbiased_ms=324
ts=68239898; t=2025-05-13T19:08:08; ll=6f; FE=139.162.152.224:443; http_ping_ms=395; win=3; uuid=9511c13edf1e59825adda2fcd385a3616fa8ebfa; unbiased_ms=345
ts=68239898; t=2025-05-13T19:08:08; ll=70; FE=109.237.26.34:443; http_ping_ms=390; win=3; uuid=cba9d700f18947bdd582be4023eecd21ec9996b9; unbiased_ms=340
ts=68239898; t=2025-05-13T19:08:08; ll=71; FE=95.216.167.199:443; http_ping_ms=420; win=3; uuid=cd771f4b78e9fdd301e02f9e3251ace9461966d7; unbiased_ms=370
ts=68239898; t=2025-05-13T19:08:08; ll=72; FE=139.162.16.102:443; http_ping_ms=423; win=3; uuid=00ad3ea65dac882f93147161d4fe4803d04b1ac4; unbiased_ms=373
ts=68239898; t=2025-05-13T19:08:08; ll=73; FE=185.112.146.199:443; http_ping_ms=460; win=3; uuid=3a750bbc070c616098874ac714cc0dc2440a2caa; unbiased_ms=410
ts=68239899; t=2025-05-13T19:08:09; ll=74; FE=172.105.59.232:443; http_ping_ms=548; win=3; uuid=525540452ef50a3ae98c934130332d903c7e9f5e; unbiased_ms=498
ts=6823989e; t=2025-05-13T19:08:14; ll=75; connect=45.33.98.215:443
ts=6823989e; t=2025-05-13T19:08:14; ll=76; FE=45.33.98.215:443; err=Duplicate; proto=http; domain=atsscribe.pagekite.me; id=s5
ts=6823989e; t=2025-05-13T19:08:14; ll=77; FE=45.33.98.215:443; ports=79,80,443,465,843,993,995,1965,2222,3000,4545,5222,5223,5269,5670,6667,8000,8080,8081,8082,8083,9292,25565; protocols=http,http2,http3,https,websocket,irc,finger,httpfinger,raw,minecraft; raw_ports=virtual
ts=6823989e; t=2025-05-13T19:08:14; ll=78; wrote=549; wbps=298; read=889; eof=1; id=s5
ts=6823992f; t=2025-05-13T19:10:39; ll=79; FE=45.33.98.215:443; http_ping_ms=149; win=3; uuid=20b95faa01ec0beac766b8d87b1837161b23552c; wanted_by=DNS
ts=6823992f; t=2025-05-13T19:10:39; ll=7a; FE=172.104.8.71:443; http_ping_ms=224; win=3; uuid=09c857ce500b4ec0cada12d79abdcefc49647447; unbiased_ms=174
ts=6823992f; t=2025-05-13T19:10:39; ll=7b; FE=139.162.73.59:443; http_ping_ms=306; win=3; uuid=e2edeb72e6fabd0d0eb3f0f5c376c8e3bcc5fc31; unbiased_ms=256
ts=6823992f; t=2025-05-13T19:10:39; ll=7c; FE=172.105.176.167:443; http_ping_ms=374; win=3; uuid=13004119e05cff9a228194b7393af9341b586873; unbiased_ms=324
ts=6823992f; t=2025-05-13T19:10:39; ll=7d; FE=109.237.26.34:443; http_ping_ms=382; win=3; uuid=cba9d700f18947bdd582be4023eecd21ec9996b9; unbiased_ms=332
ts=6823992f; t=2025-05-13T19:10:39; ll=7e; FE=139.162.152.224:443; http_ping_ms=400; win=3; uuid=9511c13edf1e59825adda2fcd385a3616fa8ebfa; unbiased_ms=350
ts=6823992f; t=2025-05-13T19:10:39; ll=7f; FE=139.162.16.102:443; http_ping_ms=423; win=3; uuid=00ad3ea65dac882f93147161d4fe4803d04b1ac4; unbiased_ms=373
ts=6823992f; t=2025-05-13T19:10:39; ll=80; FE=95.216.167.199:443; http_ping_ms=421; win=3; uuid=cd771f4b78e9fdd301e02f9e3251ace9461966d7; unbiased_ms=371
ts=6823992f; t=2025-05-13T19:10:39; ll=81; FE=185.112.146.199:443; http_ping_ms=458; win=3; uuid=3a750bbc070c616098874ac714cc0dc2440a2caa; unbiased_ms=408
ts=6823992f; t=2025-05-13T19:10:39; ll=82; FE=172.105.59.232:443; http_ping_ms=562; win=3; uuid=525540452ef50a3ae98c934130332d903c7e9f5e; unbiased_ms=512
ts=68239934; t=2025-05-13T19:10:44; ll=83; connect=45.33.98.215:443
ts=68239935; t=2025-05-13T19:10:45; ll=84; FE=45.33.98.215:443; err=Duplicate; proto=http; domain=atsscribe.pagekite.me; id=s6
ts=68239935; t=2025-05-13T19:10:45; ll=85; FE=45.33.98.215:443; ports=79,80,443,465,843,993,995,1965,2222,3000,4545,5222,5223,5269,5670,6667,8000,8080,8081,8082,8083,9292,25565; protocols=http,http2,http3,https,websocket,irc,finger,httpfinger,raw,minecraft; raw_ports=virtual
ts=68239935; t=2025-05-13T19:10:45; ll=86; wrote=549; wbps=330; read=889; eof=1; id=s6
ts=682399c6; t=2025-05-13T19:13:10; ll=87; FE=45.33.98.215:443; http_ping_ms=145; win=3; uuid=20b95faa01ec0beac766b8d87b1837161b23552c; wanted_by=DNS
ts=682399c6; t=2025-05-13T19:13:10; ll=88; FE=172.104.8.71:443; http_ping_ms=223; win=3; uuid=09c857ce500b4ec0cada12d79abdcefc49647447; unbiased_ms=173
ts=682399c6; t=2025-05-13T19:13:10; ll=89; FE=139.162.73.59:443; http_ping_ms=304; win=3; uuid=e2edeb72e6fabd0d0eb3f0f5c376c8e3bcc5fc31; unbiased_ms=254
ts=682399c6; t=2025-05-13T19:13:10; ll=8a; FE=109.237.26.34:443; http_ping_ms=377; win=3; uuid=cba9d700f18947bdd582be4023eecd21ec9996b9; unbiased_ms=327
ts=682399c6; t=2025-05-13T19:13:10; ll=8b; FE=172.105.176.167:443; http_ping_ms=370; win=3; uuid=13004119e05cff9a228194b7393af9341b586873; unbiased_ms=320
ts=682399c6; t=2025-05-13T19:13:10; ll=8c; FE=139.162.16.102:443; http_ping_ms=416; win=3; uuid=00ad3ea65dac882f93147161d4fe4803d04b1ac4; unbiased_ms=366
ts=682399c6; t=2025-05-13T19:13:10; ll=8d; FE=139.162.152.224:443; http_ping_ms=398; win=3; uuid=9511c13edf1e59825adda2fcd385a3616fa8ebfa; unbiased_ms=348
ts=682399c6; t=2025-05-13T19:13:10; ll=8e; FE=95.216.167.199:443; http_ping_ms=421; win=3; uuid=cd771f4b78e9fdd301e02f9e3251ace9461966d7; unbiased_ms=371
ts=682399c6; t=2025-05-13T19:13:10; ll=8f; FE=185.112.146.199:443; http_ping_ms=455; win=3; uuid=3a750bbc070c616098874ac714cc0dc2440a2caa; unbiased_ms=405
ts=682399c6; t=2025-05-13T19:13:10; ll=90; FE=172.105.59.232:443; http_ping_ms=559; win=3; uuid=525540452ef50a3ae98c934130332d903c7e9f5e; unbiased_ms=509
ts=682399cb; t=2025-05-13T19:13:15; ll=91; connect=45.33.98.215:443
